applicant_id,probability_of_default,risk_band,recommended_decision,actual_default
396899,0.2458905916731472,Medium Risk,Manual Review,0
322041,0.3555269558252432,High Risk,Decline,0
220127,0.8467945131492948,High Risk,Decline,0
251531,0.2621947103652605,Medium Risk,Manual Review,0
345558,0.6031087507983224,High Risk,Decline,0
251419,0.6504760761865134,High Risk,Decline,0
433604,0.0505258802921075,Low Risk,Approve,0
268026,0.0719326539543078,Low Risk,Approve,0
218614,0.7973814299834681,High Risk,Decline,0
394494,0.3556602415337844,High Risk,Decline,1
317152,0.1654215323853652,Medium Risk,Manual Review,0
283503,0.3968116620646106,High Risk,Decline,0
423786,0.2169075788097463,Medium Risk,Manual Review,0
384173,0.6272621423422903,High Risk,Decline,0
181767,0.465254029153215,High Risk,Decline,0
421714,0.2348893177328842,Medium Risk,Manual Review,0
144778,0.5121386689277037,High Risk,Decline,0
126190,0.4865672093250387,High Risk,Decline,0
153287,0.5567003726990764,High Risk,Decline,0
410121,0.3901662148169378,High Risk,Decline,0
127514,0.1917203398814934,Medium Risk,Manual Review,0
342485,0.1208974878924002,Medium Risk,Manual Review,0
189919,0.2072836165986244,Medium Risk,Manual Review,0
377920,0.1878877642476798,Medium Risk,Manual Review,0
249019,0.4494495601946029,High Risk,Decline,0
406911,0.3108048055818499,High Risk,Decline,0
253144,0.47463996378373,High Risk,Decline,0
448406,0.1993962073976362,Medium Risk,Manual Review,0
240417,0.337588528936097,High Risk,Decline,0
265348,0.2577928027505358,Medium Risk,Manual Review,0
420691,0.0926183075763168,Low Risk,Approve,0
449490,0.2835443726915503,Medium Risk,Manual Review,0
208491,0.7393767546152148,High Risk,Decline,0
329639,0.1215683436528909,Medium Risk,Manual Review,0
436053,0.4870205896769229,High Risk,Decline,0
155172,0.2815727611717493,Medium Risk,Manual Review,0
272065,0.8602535883995374,High Risk,Decline,0
221899,0.2575521929235905,Medium Risk,Manual Review,0
263977,0.2601902568034877,Medium Risk,Manual Review,0
408451,0.2285820072709443,Medium Risk,Manual Review,0
123333,0.3458711195208808,High Risk,Decline,0
203949,0.2756650416131729,Medium Risk,Manual Review,0
112457,0.4494477057573232,High Risk,Decline,0
179429,0.1749605232633632,Medium Risk,Manual Review,0
111773,0.1100035275837193,Medium Risk,Manual Review,0
261753,0.6149002019822917,High Risk,Decline,0
266559,0.2665889496815148,Medium Risk,Manual Review,0
443433,0.3719352606658056,High Risk,Decline,0
413440,0.4203839587886473,High Risk,Decline,0
326378,0.1130617896712989,Medium Risk,Manual Review,0
154190,0.097174431158224,Low Risk,Approve,0
270238,0.0451254043141666,Low Risk,Approve,0
249893,0.303370130625246,High Risk,Decline,0
117020,0.0806172386358745,Low Risk,Approve,0
306428,0.6752078606065561,High Risk,Decline,0
119882,0.1115302952310791,Medium Risk,Manual Review,0
363647,0.3133801189685694,High Risk,Decline,0
118311,0.4140113817657426,High Risk,Decline,0
152261,0.1594871103255061,Medium Risk,Manual Review,0
408541,0.3691580611954193,High Risk,Decline,0
170656,0.7807673339195644,High Risk,Decline,0
448392,0.3381126194179518,High Risk,Decline,0
370041,0.1196599224501668,Medium Risk,Manual Review,0
281928,0.7407075346628376,High Risk,Decline,1
295467,0.1330082792184861,Medium Risk,Manual Review,0
414450,0.7943891326596663,High Risk,Decline,1
356788,0.5699209672059148,High Risk,Decline,0
456244,0.1767388620226833,Medium Risk,Manual Review,0
184322,0.2326857806974551,Medium Risk,Manual Review,0
349385,0.2800700845687036,Medium Risk,Manual Review,0
447129,0.8038318846375229,High Risk,Decline,1
401571,0.3863441299939713,High Risk,Decline,0
300307,0.635545811664925,High Risk,Decline,0
319206,0.5056542931237643,High Risk,Decline,0
351153,0.2279596071024609,Medium Risk,Manual Review,0
215089,0.3856499619157507,High Risk,Decline,0
155938,0.5144628266600174,High Risk,Decline,0
187959,0.1896663499485984,Medium Risk,Manual Review,0
255038,0.4229088870861409,High Risk,Decline,0
318285,0.7759624010828581,High Risk,Decline,0
316811,0.5444365635820241,High Risk,Decline,0
395003,0.2514432110782257,Medium Risk,Manual Review,0
328533,0.2724451278404709,Medium Risk,Manual Review,0
178549,0.8762654562385234,High Risk,Decline,0
223754,0.6486993702371836,High Risk,Decline,0
372969,0.8664623731167721,High Risk,Decline,0
156496,0.198761616175172,Medium Risk,Manual Review,0
116054,0.2884088794572575,Medium Risk,Manual Review,0
270339,0.3479651039458565,High Risk,Decline,0
250898,0.2894009922293172,Medium Risk,Manual Review,0
233559,0.2319444248663948,Medium Risk,Manual Review,0
118970,0.1398404477121905,Medium Risk,Manual Review,0
293029,0.7961924806723291,High Risk,Decline,0
327011,0.24544307967417,Medium Risk,Manual Review,0
100730,0.0909966157121469,Low Risk,Approve,0
251241,0.6948139060999541,High Risk,Decline,0
282922,0.5409256344638701,High Risk,Decline,0
155358,0.194511907082642,Medium Risk,Manual Review,0
376757,0.4177532938747461,High Risk,Decline,0
339784,0.6836961883846755,High Risk,Decline,1
437609,0.8206109180560919,High Risk,Decline,1
411375,0.2313226971028648,Medium Risk,Manual Review,0
308960,0.1746713210902552,Medium Risk,Manual Review,0
248218,0.3664718794848408,High Risk,Decline,0
224443,0.5542124210401906,High Risk,Decline,0
390340,0.1892536670111999,Medium Risk,Manual Review,0
407758,0.2258761010733442,Medium Risk,Manual Review,0
324518,0.0903607741356927,Low Risk,Approve,0
341529,0.3102559691249025,High Risk,Decline,0
103587,0.2494655782448886,Medium Risk,Manual Review,0
217773,0.8027969119073484,High Risk,Decline,0
