applicant_id,probability_of_default,risk_band,recommended_decision,actual_default,exposure_at_default,loss_given_default,expected_loss
396899,0.2458905916731472,Medium Risk,Manual Review,0,770292.0,0.45,85233.40003849135
322041,0.3555269558252432,High Risk,Decline,0,364896.0,0.45,58378.663832763574
220127,0.8467945131492948,High Risk,Decline,0,284400.0,0.45,108372.76179284675
251531,0.2621947103652605,Medium Risk,Manual Review,0,976711.5,0.45,115239.8649838136
345558,0.6031087507983224,High Risk,Decline,0,323194.5,0.45,87714.64402194977
251419,0.6504760761865134,High Risk,Decline,0,318528.0,0.45,93237.67961799198
433604,0.0505258802921075,Low Risk,Approve,0,1431000.0,0.45,32536.140614102627
268026,0.0719326539543078,Low Risk,Approve,0,382500.0,0.45,12381.408061885231
218614,0.7973814299834681,High Risk,Decline,0,170640.0,0.45,61229.325245570544
394494,0.3556602415337844,High Risk,Decline,1,225000.0,0.45,36010.59945529567
317152,0.1654215323853652,Medium Risk,Manual Review,0,1546020.0,0.45,115085.24887429005
283503,0.3968116620646106,High Risk,Decline,0,473760.0,0.45,84597.07185887847
423786,0.2169075788097463,Medium Risk,Manual Review,0,269550.0,0.45,26310.347040675202
384173,0.6272621423422903,High Risk,Decline,0,691020.0,0.45,195052.80852061624
181767,0.465254029153215,High Risk,Decline,0,263686.5,0.45,55206.54295123916
421714,0.2348893177328842,Medium Risk,Manual Review,0,619965.0,0.45,65530.4201407204
144778,0.5121386689277037,High Risk,Decline,0,270000.0,0.45,62224.848274716
126190,0.4865672093250387,High Risk,Decline,0,521280.0,0.45,114136.98969463028
153287,0.5567003726990764,High Risk,Decline,0,755190.0,0.45,189186.54950637696
410121,0.3901662148169378,High Risk,Decline,0,675000.0,0.45,118512.98775064487
127514,0.1917203398814934,Medium Risk,Manual Review,0,119925.0,0.45,10346.427792129643
342485,0.1208974878924002,Medium Risk,Manual Review,0,568800.0,0.45,30944.921000938757
189919,0.2072836165986244,Medium Risk,Manual Review,0,291384.0,0.45,27179.608202538107
377920,0.1878877642476798,Medium Risk,Manual Review,0,1017544.5,0.45,86032.87250738546
249019,0.4494495601946029,High Risk,Decline,0,158256.0,0.45,32007.640319170685
406911,0.3108048055818499,High Risk,Decline,0,904500.0,0.45,126505.32599195246
253144,0.47463996378373,High Risk,Decline,0,808650.0,0.45,172717.92302117098
448406,0.1993962073976362,Medium Risk,Manual Review,0,450000.0,0.45,40377.73199802133
240417,0.337588528936097,High Risk,Decline,0,1206000.0,0.45,183209.29465361984
265348,0.2577928027505358,Medium Risk,Manual Review,0,765000.0,0.45,88745.17234687194
420691,0.0926183075763168,Low Risk,Approve,0,1647000.0,0.45,68644.05866018719
449490,0.2835443726915503,Medium Risk,Manual Review,0,266652.0,0.45,34023.45333012628
208491,0.7393767546152148,High Risk,Decline,0,269550.0,0.45,89684.55189293902
329639,0.1215683436528909,Medium Risk,Manual Review,0,1546020.0,0.45,84576.19079440908
436053,0.4870205896769229,High Risk,Decline,0,1314117.0,0.45,288000.916310011
155172,0.2815727611717493,Medium Risk,Manual Review,0,1024290.0,0.45,129785.473593275
272065,0.8602535883995374,High Risk,Decline,0,284400.0,0.45,110095.2542433728
221899,0.2575521929235905,Medium Risk,Manual Review,0,135000.0,0.45,15646.29572010812
263977,0.2601902568034877,Medium Risk,Manual Review,0,916470.0,0.45,107305.45409371157
408451,0.2285820072709443,Medium Risk,Manual Review,0,312840.0,0.45,32179.317819588996
123333,0.3458711195208808,High Risk,Decline,0,507469.5,0.45,78983.56983946574
203949,0.2756650416131729,Medium Risk,Manual Review,0,610335.0,0.45,75711.61042783916
112457,0.4494477057573232,High Risk,Decline,0,675000.0,0.45,136519.74062378693
