feature,importance
APP_ANNUITY_TO_CREDIT_RATIO,566
EXT_SOURCE_1,499
EXT_SOURCE_2,486
EXT_SOURCE_3,461
AMT_ANNUITY,290
DAYS_BIRTH,275
DAYS_ID_PUBLISH,271
APP_GOODS_PRICE_TO_CREDIT_RATIO,233
APP_EMPLOYED_YEARS,208
BUREAU_BUREAU_DEBT_TO_CREDIT_RATIO_max,204
APP_ANNUITY_TO_INCOME_RATIO,199
APP_CREDIT_TO_INCOME_RATIO,189
AMT_GOODS_PRICE,189
DAYS_REGISTRATION,187
BUREAU_DAYS_CREDIT_ENDDATE_max,187
APP_AGE_YEARS,184
AMT_CREDIT,181
INSTALL_AMT_INSTALMENT_min,169
DAYS_LAST_PHONE_CHANGE,167
REGION_POPULATION_RELATIVE,163
INSTALL_AMT_PAYMENT_sum,163
INSTALL_AMT_PAYMENT_min,163
APP_EMPLOYED_TO_AGE_RATIO,158
BUREAU_DAYS_CREDIT_max,154
POS_CNT_INSTALMENT_FUTURE_std,143
BUREAU_AMT_CREDIT_SUM_mean,143
POS_CNT_INSTALMENT_FUTURE_mean,136
BUREAU_BUREAU_DEBT_TO_CREDIT_RATIO_std,135
PREV_HOUR_APPR_PROCESS_START_std,134
INSTALL_INSTALL_LATE_PAYMENT_FLAG_std,132
PREV_CNT_PAYMENT_mean,131
BUREAU_DAYS_ENDDATE_FACT_max,131
PREV_AMT_ANNUITY_min,128
INSTALL_INSTALL_LATE_PAYMENT_FLAG_mean,126
BUREAU_AMT_CREDIT_SUM_min,122
PREV_CNT_PAYMENT_std,121
BUREAU_DAYS_CREDIT_sum,121
INSTALL_INSTALL_PAYMENT_DELAY_DAYS_mean,112
PREV_HOUR_APPR_PROCESS_START_mean,112
PREV_PREV_APPLICATION_TO_CREDIT_RATIO_mean,111
PREV_NAME_CONTRACT_STATUS_Refused_ratio,109
PREV_DAYS_DECISION_max,109
INSTALL_NUM_INSTALMENT_VERSION_sum,109
BUREAU_DAYS_CREDIT_UPDATE_max,107
BUREAU_BUREAU_DEBT_TO_CREDIT_RATIO_mean,106
INSTALL_INSTALL_PAYMENT_DELAY_DAYS_std,106
BUREAU_AMT_CREDIT_SUM_sum,106
BUREAU_AMT_CREDIT_SUM_std,106
PREV_PREV_APPLICATION_TO_CREDIT_RATIO_std,105
PREV_AMT_ANNUITY_mean,104
INSTALL_AMT_PAYMENT_mean,104
INSTALL_NUM_INSTALMENT_VERSION_mean,104
INSTALL_INSTALL_PAYMENT_DELAY_DAYS_min,102
PREV_DAYS_FIRST_DUE_std,102
INSTALL_INSTALL_PAYMENT_DELAY_DAYS_max,102
INSTALL_INSTALL_PAYMENT_DELAY_DAYS_sum,102
PREV_PREV_APPLICATION_TO_CREDIT_RATIO_min,102
BUREAU_DAYS_CREDIT_ENDDATE_std,101
BUREAU_DAYS_CREDIT_ENDDATE_sum,99
PREV_DAYS_LAST_DUE_1ST_VERSION_max,97
PREV_PREV_ANNUITY_TO_CREDIT_RATIO_std,96
BUREAU_DAYS_CREDIT_UPDATE_mean,96
BUREAU_BUREAU_DEBT_TO_CREDIT_RATIO_sum,94
INSTALL_INSTALL_PAYMENT_DIFFERENCE_mean,94
BUREAU_AMT_CREDIT_SUM_max,94
PREV_DAYS_FIRST_DUE_max,93
PREV_DAYS_DECISION_std,93
CODE_GENDER_F,91
INSTALL_DAYS_INSTALMENT_std,90
BUREAU_DAYS_ENDDATE_FACT_std,90
BUREAU_DAYS_CREDIT_ENDDATE_mean,90
PREV_AMT_DOWN_PAYMENT_sum,89
INSTALL_DAYS_ENTRY_PAYMENT_max,88
INSTALL_NUM_INSTALMENT_VERSION_std,87
PREV_PREV_ANNUITY_TO_CREDIT_RATIO_max,87
BUREAU_DAYS_CREDIT_mean,87
BUREAU_DAYS_CREDIT_min,87
NAME_FAMILY_STATUS_Married,87
DAYS_EMPLOYED,86
POS_MONTHS_BALANCE_std,86
APP_INCOME_PER_FAMILY_MEMBER,84
PREV_AMT_GOODS_PRICE_min,84
REGION_RATING_CLIENT_W_CITY,82
POS_NAME_CONTRACT_STATUS_Active_ratio,80
BUREAU_AMT_CREDIT_MAX_OVERDUE_mean,79
PREV_PRODUCT_COMBINATION_Cash_X_Sell_low_ratio,79
POS_CNT_INSTALMENT_std,78
BUREAU_DAYS_ENDDATE_FACT_mean,78
PREV_NAME_YIELD_GROUP_low_action_ratio,78
BUREAU_AMT_CREDIT_SUM_DEBT_std,78
PREV_DAYS_LAST_DUE_sum,78
POS_MONTHS_BALANCE_mean,76
POS_MONTHS_BALANCE_max,76
PREV_NAME_YIELD_GROUP_high_ratio,76
PREV_PREV_ANNUITY_TO_CREDIT_RATIO_min,76
PREV_DAYS_LAST_DUE_1ST_VERSION_sum,74
PREV_PREV_ANNUITY_TO_CREDIT_RATIO_sum,74
PREV_DAYS_DECISION_mean,73
NAME_EDUCATION_TYPE_Higher_education,73
FLAG_OWN_CAR_N,71
BUREAU_DAYS_CREDIT_UPDATE_std,71
INSTALL_AMT_INSTALMENT_max,71
BUREAU_CREDIT_TYPE_Mortgage_ratio,71
PREV_AMT_ANNUITY_std,71
BUREAU_DAYS_ENDDATE_FACT_min,70
PREV_RATE_DOWN_PAYMENT_std,69
INSTALL_AMT_INSTALMENT_sum,69
PREV_PREV_ANNUITY_TO_CREDIT_RATIO_mean,68
PREV_SELLERPLACE_AREA_mean,68
PREV_AMT_ANNUITY_max,68
PREV_SELLERPLACE_AREA_max,67
AMT_INCOME_TOTAL,66
BUREAU_DAYS_CREDIT_UPDATE_sum,66
PREV_AMT_DOWN_PAYMENT_mean,66
PREV_SELLERPLACE_AREA_std,66
PREV_DAYS_LAST_DUE_1ST_VERSION_std,63
APARTMENTS_MODE,63
POS_MONTHS_BALANCE_sum,63
INSTALL_DAYS_INSTALMENT_min,63
TOTALAREA_MODE,63
PREV_DAYS_TERMINATION_sum,62
BUREAU_AMT_CREDIT_MAX_OVERDUE_max,62
INSTALL_AMT_INSTALMENT_mean,62
BUREAU_AMT_CREDIT_SUM_DEBT_mean,62
PREV_DAYS_DECISION_sum,61
BUREAU_AMT_CREDIT_MAX_OVERDUE_sum,61
PREV_NAME_PRODUCT_TYPE_x_sell_ratio,61
PREV_DAYS_LAST_DUE_std,61
PREV_AMT_APPLICATION_mean,61
BUREAU_DAYS_CREDIT_ENDDATE_min,60
INSTALL_NUM_INSTALMENT_NUMBER_std,60
INSTALL_NUM_INSTALMENT_NUMBER_mean,60
BUREAU_AMT_CREDIT_SUM_DEBT_sum,59
PREV_SELLERPLACE_AREA_min,59
INSTALL_DAYS_ENTRY_PAYMENT_sum,59
PREV_AMT_DOWN_PAYMENT_max,58
YEARS_BEGINEXPLUATATION_MODE,58
INSTALL_DAYS_ENTRY_PAYMENT_min,58
BUREAU_DAYS_CREDIT_std,57
INSTALL_DAYS_INSTALMENT_max,57
INSTALL_INSTALL_PAYMENT_DIFFERENCE_max,57
INSTALL_INSTALL_PAYMENT_DIFFERENCE_sum,57
PREV_SELLERPLACE_AREA_sum,57
PREV_RATE_DOWN_PAYMENT_mean,57
INSTALL_INSTALL_PAYMENT_TO_INSTALMENT_RATIO_mean,57
PREV_DAYS_LAST_DUE_mean,57
PREV_NAME_YIELD_GROUP_low_normal_ratio,56
POS_NAME_CONTRACT_STATUS_Completed_ratio,56
INSTALL_AMT_INSTALMENT_std,56
BUREAU_DAYS_ENDDATE_FACT_sum,55
PREV_DAYS_TERMINATION_std,54
PREV_WEEKDAY_APPR_PROCESS_START_TUESDAY_ratio,54
POS_RECORD_COUNT,54
PREV_PREV_APPLICATION_TO_CREDIT_RATIO_max,54
PREV_PREV_APPLICATION_TO_CREDIT_RATIO_sum,54
PREV_NAME_TYPE_SUITE_Unaccompanied_ratio,54
BUREAU_AMT_CREDIT_SUM_DEBT_max,53
APARTMENTS_AVG,53
PREV_DAYS_FIRST_DUE_sum,53
HOUR_APPR_PROCESS_START,53
INSTALL_AMT_PAYMENT_max,52
INSTALL_NUM_INSTALMENT_NUMBER_max,52
PREV_NAME_CONTRACT_STATUS_Approved_ratio,52
BUREAU_CREDIT_TYPE_Microloan_ratio,52
INSTALL_DAYS_ENTRY_PAYMENT_std,52
BUREAU_DAYS_CREDIT_UPDATE_min,51
PREV_CODE_REJECT_REASON_XAP_ratio,51
INSTALL_INSTALL_PAYMENT_TO_INSTALMENT_RATIO_sum,51
PREV_AMT_DOWN_PAYMENT_std,51
PREV_RATE_DOWN_PAYMENT_sum,50
CODE_GENDER_M,50
PREV_WEEKDAY_APPR_PROCESS_START_SATURDAY_ratio,50
PREV_DAYS_FIRST_DUE_mean,50
PREV_AMT_CREDIT_mean,49
PREV_PRODUCT_COMBINATION_POS_industry_with_interest_ratio,49
PREV_AMT_CREDIT_max,48
PREV_RATE_DOWN_PAYMENT_max,48
INSTALL_NUM_INSTALMENT_NUMBER_sum,48
INSTALL_DAYS_INSTALMENT_mean,48
INSTALL_AMT_PAYMENT_std,48
POS_CNT_INSTALMENT_sum,48
PREV_RATE_DOWN_PAYMENT_min,48
INSTALL_DAYS_ENTRY_PAYMENT_mean,48
PREV_AMT_GOODS_PRICE_mean,47
PREV_AMT_CREDIT_min,47
BUREAU_CREDIT_TYPE_Consumer_credit_ratio,47
PREV_DAYS_DECISION_min,46
BUREAU_CREDIT_TYPE_Credit_card_ratio,46
DEF_60_CNT_SOCIAL_CIRCLE,46
PREV_NAME_TYPE_SUITE_nan_ratio,46
PREV_AMT_CREDIT_std,46
YEARS_BEGINEXPLUATATION_MEDI,46
PREV_WEEKDAY_APPR_PROCESS_START_MONDAY_ratio,45
PREV_AMT_GOODS_PRICE_std,45
PREV_PRODUCT_COMBINATION_Cash_Street_low_ratio,45
AMT_REQ_CREDIT_BUREAU_QRT,45
PREV_CNT_PAYMENT_sum,45
PREV_HOUR_APPR_PROCESS_START_max,45
