risk_decile,applicant_count,default_count,average_probability_of_default,actual_default_rate,minimum_probability,maximum_probability,applicant_share,default_share,cumulative_applicant_share,cumulative_default_share,lift
9,6151,1909,0.7820412516449973,0.31035603966834663,0.6936341330899424,0.9560138659943288,0.10001138155862316,0.38449144008056396,0.10001138155862316,0.38449144008056396,3.844476839420407
8,6150,949,0.6305893182150006,0.15430894308943088,0.5719041757629472,0.6936209727458229,0.0999951221891615,0.19113796576032224,0.20000650374778467,0.5756294058408862,1.9114728956353004
7,6150,636,0.5200314694066405,0.10341463414634146,0.47072153764781466,0.571863250245213,0.0999951221891615,0.12809667673716013,0.3000016259369462,0.7037260825780463,1.2810292535553753
6,6150,425,0.42741358183195427,0.06910569105691057,0.3863101179066508,0.47070685812997204,0.0999951221891615,0.08559919436052367,0.3999967481261077,0.7893252769385699,0.8560336993098028
5,6150,336,0.34921526440686207,0.054634146341463415,0.3138217553873819,0.3863057600197535,0.0999951221891615,0.06767371601208459,0.4999918703152692,0.8569989929506545,0.6767701716896323
4,6151,229,0.28256290049913135,0.037229718744919524,0.25303096935170943,0.3138016276236918,0.10001138155862316,0.04612286002014099,0.6000032518738924,0.9031218529707955,0.4611761111719608
3,6150,201,0.22526168139107197,0.032682926829268294,0.19850155475137318,0.2530233128952707,0.0999951221891615,0.0404833836858006,0.6999983740630539,0.9436052366565961,0.4048535848500479
2,6150,129,0.17377710147787728,0.020975609756097562,0.14923236099140713,0.19849486905544664,0.0999951221891615,0.025981873111782478,0.7999934962522154,0.9695871097683786,0.25983140520226955
1,6150,88,0.12465375465302074,0.014308943089430894,0.10068029807070909,0.14921709613667616,0.0999951221891615,0.01772406847935549,0.8999886184413769,0.9873111782477341,0.17724933068061796
0,6151,63,0.0700972385929484,0.010242237034628515,0.005927520920460002,0.10067539048974992,0.10001138155862316,0.012688821752265862,1.0,0.9999999999999999,0.12687377730931673
