feature,mean_absolute_shap_value
EXT_SOURCE_2,0.32312399688370536
EXT_SOURCE_3,0.2592575385088615
EXT_SOURCE_1,0.14644173386576456
APP_GOODS_PRICE_TO_CREDIT_RATIO,0.0999416364633483
AMT_ANNUITY,0.0946816849714623
BUREAU_BUREAU_DEBT_TO_CREDIT_RATIO_max,0.08968620032195114
APP_ANNUITY_TO_CREDIT_RATIO,0.08743115503148668
APP_EMPLOYED_YEARS,0.08402887542997631
NAME_FAMILY_STATUS_Married,0.06591175250354896
CODE_GENDER_F,0.06333838267112794
CODE_GENDER_M,0.061165734084054305
NAME_EDUCATION_TYPE_Higher_education,0.060843087284771766
FLAG_OWN_CAR_N,0.0523656087273269
INSTALL_AMT_PAYMENT_sum,0.05099264221006932
INSTALL_INSTALL_LATE_PAYMENT_FLAG_mean,0.05061036113693288
INSTALL_INSTALL_LATE_PAYMENT_FLAG_std,0.0495390500972014
DAYS_BIRTH,0.04718563928806818
BUREAU_BUREAU_DEBT_TO_CREDIT_RATIO_std,0.04532291074095106
PREV_NAME_CONTRACT_STATUS_Refused_ratio,0.04101022720976484
APP_ANNUITY_TO_INCOME_RATIO,0.04065049582253745
DAYS_ID_PUBLISH,0.0406054551003008
INSTALL_AMT_INSTALMENT_min,0.039895179578716966
BUREAU_DAYS_CREDIT_ENDDATE_max,0.039561917077434415
BUREAU_DAYS_ENDDATE_FACT_max,0.03952124533881234
AMT_GOODS_PRICE,0.037453704993428566
POS_CNT_INSTALMENT_FUTURE_std,0.03569291496528973
PREV_DAYS_LAST_DUE_1ST_VERSION_max,0.031230551553844344
PREV_NAME_YIELD_GROUP_low_action_ratio,0.030916954790759666
PREV_CNT_PAYMENT_mean,0.0300475124100343
PREV_PREV_APPLICATION_TO_CREDIT_RATIO_min,0.02994269614832897
BUREAU_BUREAU_DEBT_TO_CREDIT_RATIO_mean,0.02906622956734854
AMT_CREDIT,0.028699937304454245
POS_CNT_INSTALMENT_FUTURE_mean,0.028695090886866257
PREV_CNT_PAYMENT_std,0.027848692407939604
REGION_RATING_CLIENT_W_CITY,0.026733522688237834
REGION_POPULATION_RELATIVE,0.02625802911074795
PREV_NAME_YIELD_GROUP_high_ratio,0.024896233895610752
PREV_PRODUCT_COMBINATION_Cash_X_Sell_low_ratio,0.024650268126014497
INSTALL_INSTALL_PAYMENT_DIFFERENCE_mean,0.024306109399012624
INSTALL_AMT_PAYMENT_mean,0.023843575591245135
INSTALL_INSTALL_PAYMENT_DELAY_DAYS_max,0.023526882997255163
ORGANIZATION_TYPE_Other,0.02328242356726292
INSTALL_NUM_INSTALMENT_VERSION_sum,0.022140337615830053
POS_MONTHS_BALANCE_max,0.021863425865003335
APP_EMPLOYED_TO_AGE_RATIO,0.021771624370846142
FLAG_DOCUMENT_3,0.021445554928202968
PREV_PREV_APPLICATION_TO_CREDIT_RATIO_mean,0.02122583057215751
BUREAU_AMT_CREDIT_SUM_min,0.020459716355037797
APP_AGE_YEARS,0.020408145245991754
INSTALL_DAYS_INSTALMENT_std,0.019464751452683046
AMT_REQ_CREDIT_BUREAU_QRT,0.018995376360881167
INSTALL_AMT_PAYMENT_min,0.01879735928571474
NAME_EDUCATION_TYPE_Secondary_secondary_special,0.01825584850975526
NAME_INCOME_TYPE_Working,0.018021972877445336
DAYS_LAST_PHONE_CHANGE,0.017995985677554442
NAME_CONTRACT_TYPE_Cash_loans,0.01772763062376669
DEF_60_CNT_SOCIAL_CIRCLE,0.017275019185112782
PREV_DAYS_FIRST_DRAWING_mean,0.01681025072284382
PREV_AMT_DOWN_PAYMENT_sum,0.01612001361750768
BUREAU_AMT_CREDIT_MAX_OVERDUE_mean,0.016050682117015706
BUREAU_CREDIT_TYPE_Mortgage_ratio,0.01600962247463464
PREV_PRODUCT_COMBINATION_Cash_Street_low_ratio,0.015996604381314988
PREV_DAYS_FIRST_DUE_std,0.015860880627731486
POS_MONTHS_BALANCE_mean,0.0154549704874843
BUREAU_DAYS_CREDIT_sum,0.015369214310305235
PREV_AMT_DOWN_PAYMENT_max,0.015211640696269601
REG_CITY_NOT_LIVE_CITY,0.014949849915854404
FLAG_WORK_PHONE,0.014472226242338513
PREV_AMT_ANNUITY_mean,0.014379478159760118
POS_MONTHS_BALANCE_std,0.013767855143289393
APP_CREDIT_TO_INCOME_RATIO,0.013644766785970302
POS_NAME_CONTRACT_STATUS_Active_ratio,0.012723301972930343
PREV_AMT_ANNUITY_min,0.012645373954930903
OCCUPATION_TYPE_Core_staff,0.012452887390880178
INSTALL_INSTALL_PAYMENT_TO_INSTALMENT_RATIO_sum,0.012398586117110805
DAYS_EMPLOYED,0.012001136872522392
PREV_NAME_YIELD_GROUP_low_normal_ratio,0.011955546235021116
INSTALL_DAYS_ENTRY_PAYMENT_max,0.011946712892157492
PREV_CODE_REJECT_REASON_XAP_ratio,0.011721726003605342
INSTALL_NUM_INSTALMENT_VERSION_mean,0.011682514628488811
PREV_PREV_APPLICATION_TO_CREDIT_RATIO_std,0.011657172320377423
BUREAU_DAYS_CREDIT_max,0.011625189576398314
PREV_CNT_PAYMENT_max,0.011210495344441998
ORGANIZATION_TYPE_Self_employed,0.01102169264426377
PREV_PRODUCT_COMBINATION_POS_industry_with_interest_ratio,0.011006072707503232
BUREAU_AMT_CREDIT_MAX_OVERDUE_max,0.010703076508535336
DAYS_REGISTRATION,0.010253358267934777
DEF_30_CNT_SOCIAL_CIRCLE,0.010094503544609223
BUREAU_DAYS_CREDIT_min,0.01003925143992843
PREV_DAYS_DECISION_max,0.009844899873290252
NAME_INCOME_TYPE_State_servant,0.009706337325556667
INSTALL_DAYS_ENTRY_PAYMENT_min,0.009685678514036481
